,taxi_12:00:00,"taxi_1 day, 0:00:00","taxi_2 days, 0:00:00","taxi_5 days, 0:00:00"
<class 'bwc.uniform.BWC_uniform'>,,,,
<class 'src.bwc.random.BWC_Random'>,18954.67172727353,37066.739143075494,82466.01324197829,169716.11286041702
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,17553.350886404158,34244.88570946689,74356.18095802185,191140.50121329378
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,17607.170795185368,34306.82101720212,74417.24668227338,191179.72748327412
<class 'src.bwc.squish.BWC_SQUISH'>,19230.190806879553,36966.17597302202,79084.78233087943,198591.48941311525
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,19284.01153186002,37027.81954404391,79143.96866458183,198630.63422187936
<class 'src.bwc.sttrace.BWC_STTrace'>,19169.275700268354,36903.42471667301,79032.37426783943,198610.1080613571
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,19221.05367916506,36962.88592902397,79090.90606250666,198648.87788049414
<class 'src.bwc.dr.BWC_DR'>,19128.340172714394,36848.76198503847,78998.8077380477,198655.2297020932
,taxi_12:00:00,"taxi_1 day, 0:00:00","taxi_2 days, 0:00:00","taxi_5 days, 0:00:00"
<class 'bwc.uniform.BWC_uniform'>,,,,
<class 'src.bwc.random.BWC_Random'>,19188.556223198364,37383.40486275533,82713.19611158775,170240.49656740722
<class 'src.bwc.STTraceImp.BWC_STTrace_Imp'>,4142.626631150412,8582.66227858685,15381.331651311559,29622.051516119194
<class 'src.bwc.STTraceImp_delay.BWC_STTrace_Imp_Delay'>,4429.621605096608,9024.150034550365,15844.226930049143,29945.24607792792
<class 'src.bwc.squish.BWC_SQUISH'>,24351.057278434913,45929.10148399069,100313.3801887293,261922.3604481292
<class 'src.bwc.squish_delay.BWC_SQUISH_Delay'>,24797.070345002492,46438.333257458,100825.61770998058,262218.20097468875
<class 'src.bwc.sttrace.BWC_STTrace'>,22492.446456073572,42350.49393695124,91863.33742604953,239319.97686784944
<class 'src.bwc.sttrace_delay.BWC_STTrace_Delay'>,22835.912275844465,42796.65599904449,92345.56812861246,239653.5209718467
<class 'src.bwc.dr.BWC_DR'>,18935.27991567812,35689.95554532268,75906.48494903804,194299.87767453783
