algorithm
algorithm
algorithm,birds_10_1d,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,673.1487911734066,546.3230389898272,642.9295035906258,663.336203691805
BWC_STTrace_Imp,497.31839279927306,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,431.2258545053595,271.4282064432749,392.6276406863031,371.2128024747399
BWC_Squish,884.0673735804297,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,497.31839279927306,273.225828082232,749.0503005687855,381.94030523974834
algorithm,birds_10_1d,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,673.1487911734066,546.3230389898272,642.9295035906258,663.336203691805
BWC_STTrace_Imp,497.31839279927306,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,431.2258545053595,271.4282064432749,392.6276406863031,371.2128024747399
BWC_Squish,884.0673735804297,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,1012.5278698208143,773.5292940343927,901.5226545724631,1016.5727717204098
algorithm,birds_30_1h
BWC_DR,550.3109299114051
BWC_STTrace,4458.431406748965
BWC_STTrace_Delay,177.33302344966802
BWC_STTrace_Imp,4458.53760690225
BWC_STTrace_Imp_Delay,121.55873519034013
BWC_Squish,4619.925548946685
BWC_Squish_Delay,213.36934767789785
algorithm,birds_10_1h
BWC_DR,1291.2317790709708
BWC_STTrace,3437.4785230388543
BWC_STTrace_Delay,955.0671412162045
BWC_STTrace_Imp,3436.985348407165
BWC_STTrace_Imp_Delay,606.2341097368866
BWC_Squish,3579.268130023104
BWC_Squish_Delay,1044.7045740742708
algorithm,birds_10_1d,birds_10_1h,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1291.2317790709708,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,3437.4785230388543,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,673.1487911734066,955.0671412162045,546.3230389898272,642.9295035906258,663.336203691805
BWC_STTrace_Imp,497.31839279927306,3436.985348407165,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,431.2258545053595,606.2341097368866,271.4282064432749,392.6276406863031,371.2128024747399
BWC_Squish,884.0673735804297,3579.268130023104,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,1012.5278698208143,1044.7045740742708,773.5292940343927,901.5226545724631,1016.5727717204098
algorithm,birds_10_1d,birds_10_1h,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1291.2317790709708,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,3437.4785230388543,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,670.1013988624344,1226.0403142354526,545.9938807437547,671.3877974146725,664.7905695951408
BWC_STTrace_Imp,497.31839279927306,3436.985348407165,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,436.30102201672156,864.8094036967526,272.40634372750486,410.4001441646121,373.34224385930406
BWC_Squish,884.0673735804297,3579.268130023104,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,885.8068209684874,14704.42242194028,776.1943185511686,1056.8598869634368,937.5513581201104
algorithm,birds_10_1d,birds_10_1h,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1291.2317790709708,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,3437.4785230388543,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,670.1013988624344,1226.0403142354526,545.9938807437547,671.3877974146725,664.7905695951408
BWC_STTrace_Imp,497.31839279927306,3436.985348407165,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,436.30102201672156,864.8094036967526,272.40634372750486,410.4001441646121,373.34224385930406
BWC_Squish,884.0673735804297,3579.268130023104,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,885.8068209684874,14704.42242194028,776.1943185511686,1056.8598869634368,937.5513581201104
algorithm,birds_10_1d,birds_10_1h,birds_10_31d,birds_10_6h,birds_10_7d
BWC_DR,1650.5178631240774,1302.6031843922794,1997.1665201738767,1492.1390805271426,1765.8084876844641
BWC_STTrace,640.100574030209,3436.4158530347286,547.3448384219904,876.238569352916,640.1783859205136
BWC_STTrace_Delay,670.1013988624344,1154.4674660858796,545.9938807437547,671.3877974146725,664.7905695951408
BWC_STTrace_Imp,497.31839279927306,3437.9533283704604,273.225828082232,749.0503005687855,381.94030523974834
BWC_STTrace_Imp_Delay,436.30102201672156,825.8214285547999,272.40634372750486,410.4001441646121,373.34224385930406
BWC_Squish,884.0673735804297,3576.2317923699306,777.0432588605879,1061.0483960761524,938.3658881428033
BWC_Squish_Delay,885.8068209684874,1693.2644296768724,776.1943185511686,1056.8598869634368,937.5513581201104
